Importers	Select your indicators-Value exported in 2021 (USD thousand)	Select your indicators-Trade balance 2021 (USD thousand)	Select your indicators-Share in Spain's exports (%)	Select your indicators-Growth in exported value between 2017-2021 (%, p.a.)	Select your indicators-Growth in exported value between 2020-2021 (%, p.a.)	Select your indicators-Ranking of partner countries in world imports	Select your indicators-Share of partner countries in world imports (%)	Select your indicators-Total imports growth in value of partner countries between 2017-2021 (%, p.a.)	Select your indicators-Average distance between partner countries and all their supplying markets (km)	Select your indicators-Concentration of all supplying countries of partner countries	Select your indicators-Average tariff (estimated) faced by Spain (%)	
"Uganda"	21220	-31641	0	7	-32	132	0.02	11	5788	0.09		
"Aruba"	20286	20138	0	2	123	175	0	-3	4917	0.3		
"Sierra Leone"	19999	19015	0	-3	35	170	0	10	8820	0.13		
"Haiti"	19893	14432	0	-4	-12	140	0.02	0	6340	0.18		
"Marshall Islands"	18363	17510	0	-35	663	91	0.06	-1	7455	0.18		
"Liberia"	17430	-46278	0	-9	21	87	0.07	17	11608	0.19		
"Palestine, State of"	17304	17274	0	-14	65	176	0	8	3026	0.1		
"Zambia"	16981	-17798	0	-2	72	119	0.03	-9	5447	0.14		
"Suriname"	14503	14326	0	10	28	173	0	1	9050	0.14		
"Niger"	14112	11276	0	9	1	162	0	13	5715	0.09		
"Somalia"	14068	10440	0	4	5	150	0.01	9	5305	0.16		
"Maldives"	13757	11361	0	4	40	151	0.01	-3	4478	0.08		
"Guinea-Bissau"	13067	12928	0	2	31	195	0	2	5802	0.16		
"Barbados"	12374	8498	0	3	47	161	0	0	4992	0.21		
"Afghanistan"	12103	8666	0	14	-9	147	0.02	-8	2990	0.12		
"Brunei Darussalam"	9678	9653	0	19	151	109	0.04	26	5185	0.11		
"Zimbabwe"	9358	-8818	0	-14	43	134	0.02	7	3754	0.39		
"Curaçao"	9109	-8323	0	-18	-18	163	0	-12		0.24		
"Mongolia"	8814	7599	0	-5	63	125	0.03	8	3267	0.22		
"Chad"	7970	7911	0	-4	11	184	0	13	6931	0.16		
"Lao People's Democratic Republic"	7754	-10074	0	15	135	129	0.02	-1	2572	0.28		
"Guyana"	7295	-93437	0	21	80	144	0.02	13	11175	0.21		
"Rwanda"	6968	6753	0	29	5	159	0.01	17	5437	0.08		
"Turkmenistan"	6804	-8258	0	18	-81	148	0.02	4	3495	0.15		
"Nepal"	6364	4526	0	-1	50	96	0.06	8	1856	0.56		
